name,place_id,location,event_ids
Hôtel Duo,ChIJWU9CqB1u5kcR5P1F2SMoJmc,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
Britannique Hotel - Paris Centre,ChIJ-4Siox9u5kcRm9vM6DcMXyU,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
Citadines Les Halles Paris,ChIJQ_QDrxhu5kcRJzNxLLEOSfU,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
Novotel Paris Les Halles,ChIJGW2pNx9u5kcRI3oyL8NG5BQ,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
Hôtel Ducs de Bourgogne,ChIJifTG5yFu5kcRdnisbwxnAx4,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
Citadines Saint-Germain-des-Prés Paris (Apart hotel Paris),ChIJo5pYcN9x5kcRERXdocMgqmE,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
Paris France Hotel,ChIJhXWLZg9u5kcRDVyqoZYgcmg,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
Hotel Regina Louvre,ChIJP_-HCS9u5kcRsj9b1x7Pl8w,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
ibis Paris Gare de Lyon Ledru Rollin 12ème,ChIJ9RNxcQNy5kcRnZJ4vsuXcow,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
Hôtel Prélude Opéra Paris,ChIJ8e3Qcj5u5kcR2MIGwNxustk,"[2.3522219, 48.856614]","9aqQdnhBYwbAZoy5op,A6MuGV5u7XQmAeDrbr,Ff85szdYcvzpDWTefW,HDXFh6dDxnoLQ5RXd2,Cdqhh264tjrM9CANEh,8Mo7Hd2YSCFaQZ9vwE,DGfEj7EtxmmrrGVkhb,5eZEwnDMysBeXULMZ3,8Zp3mGgDgdir3uvQVz,7SfyzW2UCbtgQtM2Z7,BbtWdY2tSmWgWVsSi3,S37iWuKzjuRP9Wib4i,CKgFsGfHUTa8etQHES,EurfKz4F3oFQ5wYNxt"
