id,title,agoda_accommodation_ids,high_rating_accommodation_names
9aqQdnhBYwbAZoy5op,Paris Olympics 2024,"nan,nan,63565.0,nan,60644.0,nan,193423.0,13836313.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63565.0,nan,60644.0,nan,193423.0,13836313.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,295674.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50495.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1407.0,8703.0,nan,13836313.0,nan,nan,11107.0,nan,nan,240.0,nan,nan,nan,nan,nan,nan,nan,1407.0,8703.0,nan,13836313.0,nan,nan,11107.0,nan,nan,240.0,nan,nan,nan,295674.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50495.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","Hôtel Duo,Britannique Hotel - Paris Centre,Citadines Les Halles Paris,Novotel Paris Les Halles,Hôtel Ducs de Bourgogne,Citadines Saint-Germain-des-Prés Paris (Apart hotel Paris),Paris France Hotel,Hotel Regina Louvre,ibis Paris Gare de Lyon Ledru Rollin 12ème,Hôtel Prélude Opéra Paris,Hôtel Libertel Austerlitz Jardin des Plantes,Saint James Albany Paris Hôtel Spa,The Westin Paris - Vendôme,Hôtel d'Orsay,Hôtel Mayfair Paris,InterContinental Paris - Le Grand, an IHG Hotel,Sofitel Le Scribe Paris Opéra,Hôtel Duo,Britannique Hotel - Paris Centre,Citadines Les Halles Paris,Novotel Paris Les Halles,Hôtel Ducs de Bourgogne,Citadines Saint-Germain-des-Prés Paris (Apart hotel Paris),Paris France Hotel,Hotel Regina Louvre,ibis Paris Gare de Lyon Ledru Rollin 12ème,Hôtel Prélude Opéra Paris,Hôtel Libertel Austerlitz Jardin des Plantes,Saint James Albany Paris Hôtel Spa,The Westin Paris - Vendôme,Hôtel d'Orsay,Hôtel Mayfair Paris,InterContinental Paris - Le Grand, an IHG Hotel,Sofitel Le Scribe Paris Opéra,Hôtel Oceania Paris Porte de Versailles,Novotel Suites Paris Issy les Moulineaux,Europe Hotel Paris Eiffel,Novotel Paris Centre Tour Eiffel,Hotel Eiffel Seine,Hôtel du Lion,Hôtel de la Paix Tour Eiffel,Hôtel Eiffel Rive Gauche,Hôtel Eiffel Trocadéro,Porte de Versailles Hôtel,Pullman Paris Montparnasse,Hôtel d'Orsay,Hotel Val Girard,ibis Styles Paris 15 Lecourbe,Hôtel Mercure Paris Bercy Bibliothèque,Hôtel Campanile Paris Bercy Village,ibis Paris Bercy Village 12ème,ibis Paris Gare de Lyon Ledru Rollin 12ème,Hôtel Libertel Austerlitz Jardin des Plantes,Hôtel Duo,Mama Shelter Paris East,Britannique Hotel - Paris Centre,Citadines Saint-Germain-des-Prés Paris (Apart hotel Paris),Paris France Hotel,Citadines Les Halles Paris,Novotel Paris Les Halles,Hôtel du Lion,Hôtel Ducs de Bourgogne,ibis Styles Paris Tolbiac Bibliothèque,Hôtel d'Orsay,Hôtel de la Paix Tour Eiffel,Hôtel Eiffel Rive Gauche,Sofitel Paris le Faubourg,Hôtel Mayfair Paris,The Westin Paris - Vendôme,Paris Marriott Champs Elysees Hotel,Saint James Albany Paris Hôtel Spa,Hotel Regina Louvre,Warwick Paris,Queen Mary,Sofitel Le Scribe Paris Opéra,InterContinental Paris - Le Grand, an IHG Hotel,Europe Hotel Paris Eiffel,Hotel Eiffel Seine,Hôtel Eiffel Trocadéro,Citadines Saint-Germain-des-Prés Paris (Apart hotel Paris),Hôtel d'Orsay,Hôtel de la Paix Tour Eiffel,Hôtel Eiffel Rive Gauche,Sofitel Paris le Faubourg,Hôtel Mayfair Paris,The Westin Paris - Vendôme,Paris Marriott Champs Elysees Hotel,Saint James Albany Paris Hôtel Spa,Hotel Regina Louvre,Warwick Paris,Queen Mary,Sofitel Le Scribe Paris Opéra,InterContinental Paris - Le Grand, an IHG Hotel,Europe Hotel Paris Eiffel,Hotel Eiffel Seine,Hôtel Eiffel Trocadéro,Citadines Saint-Germain-des-Prés Paris (Apart hotel Paris),Hôtel Oceania Paris Porte de Versailles,Novotel Suites Paris Issy les Moulineaux,Europe Hotel Paris Eiffel,Novotel Paris Centre Tour Eiffel,Hotel Eiffel Seine,Hôtel du Lion,Hôtel de la Paix Tour Eiffel,Hôtel Eiffel Rive Gauche,Hôtel Eiffel Trocadéro,Porte de Versailles Hôtel,Pullman Paris Montparnasse,Hôtel d'Orsay,Hotel Val Girard,ibis Styles Paris 15 Lecourbe,Appart'City Confort Paris Clichy Mairie - Appart Hôtel,Hôtel Des Arts Montmartre,Citadines Apart'hotel Montmartre Paris,Campanile Prime - Paris La Villette,Appart'City Confort Paris Clichy Mairie - Appart Hôtel,Hôtel Des Arts Montmartre,Citadines Apart'hotel Montmartre Paris,Campanile Prime - Paris La Villette,Appart'City Confort Paris Clichy Mairie - Appart Hôtel,Hôtel Des Arts Montmartre,Citadines Apart'hotel Montmartre Paris,Campanile Prime - Paris La Villette,Appart'City Confort Paris Clichy Mairie - Appart Hôtel,Hôtel Des Arts Montmartre,Citadines Apart'hotel Montmartre Paris,Campanile Prime - Paris La Villette,Appart'City Confort Paris Clichy Mairie - Appart Hôtel,Hôtel Des Arts Montmartre,Citadines Apart'hotel Montmartre Paris,Campanile Prime - Paris La Villette,Appart'City Confort Paris Clichy Mairie - Appart Hôtel,Hôtel Des Arts Montmartre,Citadines Apart'hotel Montmartre Paris,Campanile Prime - Paris La Villette"
DVQScNrjs9aXSeXRKp,US Open Tennis,"62972.0,nan,nan,nan,2452005.0","Sheraton LaGuardia East Hotel,Marco LaGuardia Hotel and Suites,Hampton Inn New York - LaGuardia Airport,New York LaGuardia Airport Marriott,SpringHill Suites New York LaGuardia Airport"
8ZSw4jLAEj5VovsYX7,Oktoberfest Berlin,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,287410.0,13836034.0,3277492.0,155396.0,nan,nan,nan,51648.0,777139.0,5607.0,nan,77958.0,nan,nan,115687.0,nan,nan,287410.0,3277492.0,nan,155396.0,nan,13836034.0,51648.0,5607.0,777139.0,nan,nan,nan,nan,nan,77958.0,nan,nan,115687.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","Hotel am Borsigturm,AMERON Berlin ABION Spreebogen Waterside,Mercure Hotel MOA Berlin,Alfa Hotel,Amstel House Hostel Berlin,Hotel Tiergarten Berlin,Hotel Les Nations,Schlosspark-Hotel,Victor's Residenz-Hotel Berlin-Tegel,Jugendgästehaus Hauptbahnhof,Hotel Berlin, Berlin, a member of Radisson Individuals,Scandic Berlin Potsdamer Platz,Pestana Berlin Tiergarten,SORAT Hotel Berlin,InterContinental Berlin, an IHG Hotel,Hotel Air in Berlin,Mövenpick Hotel Berlin,The Ritz-Carlton, Berlin,Berlin Marriott Hotel,Hotel Palace Berlin,Ellington Hotel Berlin,ibis Berlin City Potsdamer Platz,Hotel NH Berlin Potsdamer Platz,relexa hotel Berlin,Three Little Pigs Hostel Berlin,Dorint Kurfürstendamm Berlin,Hotel Motel One Berlin-Bellevue,Hotel Berlin, Berlin, a member of Radisson Individuals,Pestana Berlin Tiergarten,InterContinental Berlin, an IHG Hotel,SORAT Hotel Berlin,Hotel Air in Berlin,Scandic Berlin Potsdamer Platz,The Ritz-Carlton, Berlin,Hotel Palace Berlin,Berlin Marriott Hotel,Hotel Motel One Berlin-Bellevue,Ellington Hotel Berlin,Mövenpick Hotel Berlin,Dorint Kurfürstendamm Berlin,Hotel Adlon Kempinski Berlin,ibis Berlin City Potsdamer Platz,relexa hotel Berlin,Lindner Hotel Berlin Ku'damm - JDV by Hyatt,Three Little Pigs Hostel Berlin,Abba Berlin Hotel,Park Plaza Berlin,Hotel NH Berlin Kurfürstendamm,Hampton by Hilton Berlin City West,Lindner Hotel Berlin Ku'damm - JDV by Hyatt,Dorint Kurfürstendamm Berlin,HYPERION Hotel Berlin,Ellington Hotel Berlin,Aspria Berlin Ku’damm,Hotel Palace Berlin,Hotel Air in Berlin,Hotel Q! Berlin,Hotel Bristol Berlin,SORAT Hotel Berlin,Abba Berlin Hotel,Park Plaza Berlin,Hotel NH Berlin Kurfürstendamm,Hampton by Hilton Berlin City West,Lindner Hotel Berlin Ku'damm - JDV by Hyatt,Dorint Kurfürstendamm Berlin,HYPERION Hotel Berlin,Aspria Berlin Ku’damm,Ellington Hotel Berlin,Hotel Palace Berlin,Hotel Q! Berlin,Hotel Air in Berlin,Hotel Bristol Berlin,Aspria Berlin Ku’damm,Ringhotel Seehof Berlin,Hotel Herbst Berlin,Hotel Bernstein Villa Kastania,ibis Berlin Spandau,Select Hotel Berlin Spiegelturm,St.-Michaels-Heim Jugendgästehaus & Hotel,Westlife Apart Hotel Berlin Charlottenburg,Hotel Benn,Seehotel Grunewald,centrovital,Aspria Berlin Ku’damm,Ringhotel Seehof Berlin,Hotel Herbst Berlin,Hotel Bernstein Villa Kastania,ibis Berlin Spandau,Select Hotel Berlin Spiegelturm,St.-Michaels-Heim Jugendgästehaus & Hotel,Hotel Benn,Westlife Apart Hotel Berlin Charlottenburg,centrovital,Seehotel Grunewald"
7NZaBrtJKwN3kHapjp,Oktoberfest Munich,"501990.0,nan,3271.0,nan,3275073.0,nan,13836139.0,nan,159815.0,152564.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","Bavaria Boutique Hotel,Sofitel Munich Bayerpost,Le Méridien Munich,Mercure Hotel Muenchen City Center,Excelsior by Geisel,Hotel Motel One München-Sendlinger Tor,Eden Hotel Wolff,Hotel Motel One München-Westend,Eurostars Grand Central Hotel,ibis Muenchen City,ibis Muenchen City West,Bayerischer Hof,Hotel New Orly München,Platzl Hotel,Cortiina Hotel,Hotel Vier Jahreszeiten Kempinski München,Hotel Prinz München,Hotel New Orly München,B&B Hotel Munich-Moosach,Eurostars Grand Central Hotel,ibis Muenchen City,Munich Marriott Hotel,ibis Muenchen Parkstadt Schwabing,Pullman Munich,Eden Hotel Wolff,Hotel Motel One München-Westend,Sofitel Munich Bayerpost,Excelsior by Geisel,Le Méridien Munich,Mercure Hotel Muenchen City Center,Bayerischer Hof,Bavaria Boutique Hotel,Hotel Motel One München-Sendlinger Tor,Hotel New Orly München,B&B Hotel Munich-Moosach,Eurostars Grand Central Hotel,ibis Muenchen City,Munich Marriott Hotel,ibis Muenchen Parkstadt Schwabing,Pullman Munich,Eden Hotel Wolff,Hotel Motel One München-Westend,Sofitel Munich Bayerpost,Excelsior by Geisel,Le Méridien Munich,Mercure Hotel Muenchen City Center,Bayerischer Hof,Bavaria Boutique Hotel,Hotel Motel One München-Sendlinger Tor,Hotel New Orly München,B&B Hotel Munich-Moosach,Eurostars Grand Central Hotel,ibis Muenchen City,Munich Marriott Hotel,ibis Muenchen Parkstadt Schwabing,Pullman Munich,Eden Hotel Wolff,Hotel Motel One München-Westend,Sofitel Munich Bayerpost,Excelsior by Geisel,Le Méridien Munich,Mercure Hotel Muenchen City Center,Bayerischer Hof,Bavaria Boutique Hotel,Hotel Motel One München-Sendlinger Tor,Hotel New Orly München,B&B Hotel Munich-Moosach,Eurostars Grand Central Hotel,ibis Muenchen City,Munich Marriott Hotel,ibis Muenchen Parkstadt Schwabing,Pullman Munich,Eden Hotel Wolff,Hotel Motel One München-Westend,Sofitel Munich Bayerpost,Excelsior by Geisel,Le Méridien Munich,Mercure Hotel Muenchen City Center,Bayerischer Hof,Bavaria Boutique Hotel,Hotel Motel One München-Sendlinger Tor"
GTZBb8hDXmYb2UpWS5,Canadian National Exhibition,"37380718.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37380718.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37380718.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37380718.0,nan,nan,nan,nan,nan,36811552.0,nan,nan,nan,nan,nan,nan,nan,nan,47599.0,3794.0,nan,2462060.0,2451433.0,nan,1288.0,nan,nan,nan,6451.0,nan,47609.0,nan,2449021.0,2731307.0,3755692.0,47599.0,3794.0,2462060.0,nan,nan,2451433.0,1288.0,nan,nan,nan,6451.0,nan,47609.0,nan,2449021.0,2731307.0,3755692.0,nan,nan,47599.0,3794.0,2462060.0,nan,nan,2451433.0,1288.0,nan,nan,nan,6451.0,nan,47609.0,nan,2449021.0,2731307.0,3755692.0","The Drake Hotel,Hilton Toronto,Sheraton Centre Toronto Hotel,Hotel Victoria,One King West Hotel & Residence,Marriott Downtown at CF Toronto Eaton Centre,Novotel Toronto Centre,Holiday Inn Express Toronto Downtown,Fairmont Royal York,Courtyard Toronto Downtown,The Yorkville Royal Sonesta Hotel Toronto,InterContinental Toronto Centre, an IHG Hotel,The Westin Harbour Castle, Toronto,Residence Inn Toronto Downtown/Entertainment District,Hyatt Regency Toronto,Revery Toronto Downtown, Curio Collection by Hilton,Shangri-La Toronto,The Drake Hotel,Hilton Toronto,Sheraton Centre Toronto Hotel,Hotel Victoria,One King West Hotel & Residence,Marriott Downtown at CF Toronto Eaton Centre,Novotel Toronto Centre,Fairmont Royal York,Holiday Inn Express Toronto Downtown,InterContinental Toronto Centre, an IHG Hotel,Courtyard Toronto Downtown,The Westin Harbour Castle, Toronto,Residence Inn Toronto Downtown/Entertainment District,The Yorkville Royal Sonesta Hotel Toronto,Hyatt Regency Toronto,Revery Toronto Downtown, Curio Collection by Hilton,Shangri-La Toronto,The Drake Hotel,Hilton Toronto,Sheraton Centre Toronto Hotel,Hotel Victoria,One King West Hotel & Residence,Marriott Downtown at CF Toronto Eaton Centre,Fairmont Royal York,Novotel Toronto Centre,InterContinental Toronto Centre, an IHG Hotel,Residence Inn Toronto Downtown/Entertainment District,The Westin Harbour Castle, Toronto,Hyatt Regency Toronto,Holiday Inn Express Toronto Downtown,The Yorkville Royal Sonesta Hotel Toronto,Courtyard Toronto Downtown,Revery Toronto Downtown, Curio Collection by Hilton,Shangri-La Toronto,The Drake Hotel,Hyatt Regency Toronto,Residence Inn Toronto Downtown/Entertainment District,Old Mill Toronto Hotel,The Yorkville Royal Sonesta Hotel Toronto,Revery Toronto Downtown, Curio Collection by Hilton,Gladstone House,Hilton Toronto,InterContinental Toronto Centre, an IHG Hotel,HOTEL OCHO,Le Germain Hotel Toronto Mercer,SoHo Hotel Toronto,Toronto Marriott City Centre Hotel,Sonder The Beverley,Shangri-La Toronto,Hilton Toronto,Sheraton Centre Toronto Hotel,One King West Hotel & Residence,Hotel Victoria,Marriott Downtown at CF Toronto Eaton Centre,Novotel Toronto Centre,Holiday Inn Express Toronto Downtown,Courtyard Toronto Downtown,The Yorkville Royal Sonesta Hotel Toronto,The Drake Hotel,Fairmont Royal York,InterContinental Toronto Centre, an IHG Hotel,The Westin Harbour Castle, Toronto,Residence Inn Toronto Downtown/Entertainment District,Hyatt Regency Toronto,Revery Toronto Downtown, Curio Collection by Hilton,Shangri-La Toronto,Hilton Toronto,Sheraton Centre Toronto Hotel,Hotel Victoria,One King West Hotel & Residence,Novotel Toronto Centre,Marriott Downtown at CF Toronto Eaton Centre,Holiday Inn Express Toronto Downtown,Courtyard Toronto Downtown,The Yorkville Royal Sonesta Hotel Toronto,The Drake Hotel,Fairmont Royal York,InterContinental Toronto Centre, an IHG Hotel,The Westin Harbour Castle, Toronto,Residence Inn Toronto Downtown/Entertainment District,Hyatt Regency Toronto,Revery Toronto Downtown, Curio Collection by Hilton,Shangri-La Toronto,Old Mill Toronto Hotel,Stay Inn Toronto,Hilton Toronto,Sheraton Centre Toronto Hotel,Hotel Victoria,One King West Hotel & Residence,Novotel Toronto Centre,Marriott Downtown at CF Toronto Eaton Centre,Holiday Inn Express Toronto Downtown,Courtyard Toronto Downtown,The Yorkville Royal Sonesta Hotel Toronto,The Drake Hotel,Fairmont Royal York,InterContinental Toronto Centre, an IHG Hotel,The Westin Harbour Castle, Toronto,Residence Inn Toronto Downtown/Entertainment District,Hyatt Regency Toronto,Revery Toronto Downtown, Curio Collection by Hilton,Shangri-La Toronto"
6jhZQKtxvWXESuWyAs,Cannstatter Wasen,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79132.0,nan,nan,nan,nan,nan,nan,nan,nan,79132.0,nan,nan,nan,nan,nan,nan,nan,nan","Hotel Motel One Stuttgart-Mitte,Hotel Unger,Hotel Motel One Stuttgart-Feuerbach,Hotel Azenberg Stuttgart,Maritim Hotel Stuttgart,Mercure Hotel Stuttgart City Center,Stadthotel Am Wasen,Le Méridien Stuttgart,B&B HOTEL Stuttgart-City,Steigenberger Graf Zeppelin, Stuttgart,Hilton Garden Inn Stuttgart NeckarPark,ARCOTEL Camino Stuttgart,Bavaria Hotel Münchner Hof,Hotel Motel One Stuttgart-Mitte,Hotel Unger,Stadthotel Am Wasen,Hotel Motel One Stuttgart-Feuerbach,Mercure Hotel Stuttgart City Center,Le Méridien Stuttgart,Hilton Garden Inn Stuttgart NeckarPark,Bavaria Hotel Münchner Hof,Hetzel Hotel Stuttgart,Hotel Ochsen,Hotel Azenberg Stuttgart,Steigenberger Graf Zeppelin, Stuttgart,Hotel Restaurant ""Alte Kelter"",ARCOTEL Camino Stuttgart,DJH Jugendherberge Stuttgart International"
4eiwBMoPdvPQYR22zX,Woodward Dream Cruise,"nan,2451277.0,nan,2451277.0,nan","Hampton Inn Detroit/Madison Heights/South Troy,Hotel Royal Oak,Hyatt Place Detroit / Royal Oak,Hotel Royal Oak,Hyatt Place Detroit / Royal Oak"
3BTvRDZduCQMt8YHb3,Festival Fierté Montréal,"nan,2452957.0,nan,nan,nan,4580.0,nan,nan,6359014.0,nan,6950074.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2452957.0,nan,4580.0,nan,nan,6359014.0,nan,6950074.0,nan,nan,nan,nan,nan,nan,2452957.0,4580.0,nan,nan,6359014.0,nan,6950074.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4580.0,nan,nan,nan,nan,2452957.0,6359014.0,nan,nan,nan,nan,nan,nan,nan,nan,2452957.0,nan,nan,nan,nan,6359014.0,nan,6950074.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","Hôtel Zéro1,Hotel Place d'Armes,Hôtel Le Dauphin Montréal Centre-Ville,InterContinental Montreal, an IHG Hotel,Delta Hotels Montreal,Le Centre Sheraton Montreal Hotel,Warwick Le Crystal,Novotel Montreal Centre,Fairmont The Queen Elizabeth,St Paul hotel,Samesun Montreal Central,Le St-Martin Montreal Hotel Particulier,Hotel 2170 Lincoln,Hotel Place d'Armes,Hôtel Zéro1,Hôtel Le Dauphin Montréal Centre-Ville,InterContinental Montreal, an IHG Hotel,Delta Hotels Montreal,Fairmont The Queen Elizabeth,Le Centre Sheraton Montreal Hotel,Warwick Le Crystal,Novotel Montreal Centre,St Paul hotel,Samesun Montreal Central,Courtyard Montreal Downtown,Le St-Martin Montreal Hotel Particulier,Montreal Marriott Chateau Champlain,Hôtel Zéro1,Delta Hotels Montreal,Hôtel Le Dauphin Montréal Centre-Ville,Hotel Place d'Armes,InterContinental Montreal, an IHG Hotel,Le Centre Sheraton Montreal Hotel,Novotel Montreal Centre,Warwick Le Crystal,Fairmont The Queen Elizabeth,St Paul hotel,Samesun Montreal Central,Le St-Martin Montreal Hotel Particulier,Hotel 2170 Lincoln,Delta Hotels Montreal,Hôtel Le Dauphin Montréal Centre-Ville,Hôtel Zéro1,InterContinental Montreal, an IHG Hotel,Hotel Place d'Armes,Le Centre Sheraton Montreal Hotel,Novotel Montreal Centre,Warwick Le Crystal,Fairmont The Queen Elizabeth,St Paul hotel,Samesun Montreal Central,Le St-Martin Montreal Hotel Particulier,Hotel 2170 Lincoln,Auberge de La Fontaine,Kutuma Hotel & Suites,Hotel Terrasse Royale,Hôtel de l'ITHQ,Auberge du Plateau,Hotel Manoir Sherbrooke,Auberge Chez Jean,Hotel Place d'Armes,Hôtel Zéro1,InterContinental Montreal, an IHG Hotel,Hôtel Le Dauphin Montréal Centre-Ville,Delta Hotels Montreal,Fairmont The Queen Elizabeth,Le Centre Sheraton Montreal Hotel,Warwick Le Crystal,Novotel Montreal Centre,St Paul hotel,Samesun Montreal Central,Le St-Martin Montreal Hotel Particulier,Courtyard Montreal Downtown,Montreal Marriott Chateau Champlain,Hotel Place d'Armes,Hôtel Zéro1,InterContinental Montreal, an IHG Hotel,Hôtel Le Dauphin Montréal Centre-Ville,Delta Hotels Montreal,Fairmont The Queen Elizabeth,Le Centre Sheraton Montreal Hotel,Warwick Le Crystal,Novotel Montreal Centre,St Paul hotel,Samesun Montreal Central,Le St-Martin Montreal Hotel Particulier,Courtyard Montreal Downtown,Montreal Marriott Chateau Champlain,Novotel Montreal Centre,Warwick Le Crystal,Le Centre Sheraton Montreal Hotel,Delta Hotels Montreal,Hôtel Le Dauphin Montréal Centre-Ville,InterContinental Montreal, an IHG Hotel,Hôtel Zéro1,Hotel Place d'Armes,Fairmont The Queen Elizabeth,St Paul hotel,Samesun Montreal Central,Le St-Martin Montreal Hotel Particulier,Hotel 2170 Lincoln,Courtyard Montreal Downtown,Delta Hotels Montreal,Hôtel Zéro1,Hôtel Le Dauphin Montréal Centre-Ville,Hotel Place d'Armes,InterContinental Montreal, an IHG Hotel,Le Centre Sheraton Montreal Hotel,Novotel Montreal Centre,Warwick Le Crystal,Fairmont The Queen Elizabeth,St Paul hotel,Samesun Montreal Central,Le St-Martin Montreal Hotel Particulier,Hotel 2170 Lincoln,Hotel Place d'Armes,Hôtel Zéro1,InterContinental Montreal, an IHG Hotel,Hôtel Le Dauphin Montréal Centre-Ville,Delta Hotels Montreal,Fairmont The Queen Elizabeth,Le Centre Sheraton Montreal Hotel,Warwick Le Crystal,Novotel Montreal Centre,St Paul hotel,Samesun Montreal Central,Le St-Martin Montreal Hotel Particulier,Courtyard Montreal Downtown,Montreal Marriott Chateau Champlain"
FuJbVQJLfySumxQeww,The Big E,"nan,nan,nan,nan,nan,nan,nan","Sheraton Springfield Monarch Place Hotel,Hilton Garden Inn Springfield, MA,Candlewood Suites West Springfield, an IHG Hotel,Hampton Inn West Springfield,Naomi's Inn Bed and Breakfast,Bright Nights at Forest Park,Holiday Inn Express Springfield Downtown, an IHG Hotel"
Ffh6pzobiVL2cSay4K,Blackpool Illuminations,"nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan,nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan,nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan,nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan,nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan","Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON,Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON,Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON,Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON,Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON"
